category,brand,condition,age_months,rating,num_reviews,weight_kg,price
Health,HomeStyle,Good,46,3.1,681,9.51,27.37
Electronics,Premium,New,26,4.4,108,8.31,714.5
Automotive,Premium,New,20,4.5,111,2.7,255.27
Home & Kitchen,HomeStyle,Fair,53,3.8,400,13.91,21.86
Electronics,TechPro,Like New,1,3.6,497,8.37,856.18
Home & Kitchen,Generic,Like New,5,3.0,653,2.18,30.67
Books,Standard,Good,2,3.3,354,1.31,13.98
Books,Standard,Good,34,4.8,995,5.58,10.64
Home & Kitchen,Premium,Fair,48,4.7,490,11.8,45.29
Books,Luxury,Fair,22,3.9,527,5.99,19.07
Clothing,Standard,New,8,4.1,914,3.38,55.97
Sports,HomeStyle,New,17,3.6,892,11.92,96.08
Home & Kitchen,BasicValue,Like New,20,3.9,863,16.65,32.95
Food,HomeStyle,New,9,4.0,755,11.62,15.65
Electronics,EcoFriendly,New,23,3.8,328,12.14,604.67
Beauty,Budget,Fair,44,4.6,387,5.39,7.48
Clothing,Luxury,Fair,14,3.3,819,14.17,66.51
Clothing,Standard,New,46,4.4,524,0.48,33.4
Toys,EcoFriendly,Good,44,4.4,94,2.75,14.79
Home & Kitchen,TechPro,Like New,8,3.3,266,4.49,142.15
Home & Kitchen,Standard,Refurbished,41,4.7,375,8.38,38.92
Health,Premium,Refurbished,8,4.5,129,13.64,68.61
Home & Kitchen,HomeStyle,Good,59,3.4,807,16.09,27.37
Sports,Budget,Fair,25,4.6,734,13.86,23.92
Health,HomeStyle,Like New,49,3.7,182,2.7,35.88
Clothing,Standard,Like New,38,4.3,374,10.14,33.48
Clothing,BasicValue,Fair,57,3.3,586,12.94,5.51
Toys,TechPro,Good,58,3.0,893,4.05,19.22
Home & Kitchen,Luxury,Good,15,4.6,360,7.47,146.44
Clothing,Luxury,Refurbished,54,3.3,466,19.13,42.92
Health,BasicValue,Refurbished,6,3.1,304,1.34,18.31
Books,Premium,Good,7,3.2,591,16.2,24.08
Sports,SportMax,Refurbished,41,4.1,172,17.19,69.26
Food,Luxury,Fair,24,4.8,913,18.91,17.9
Books,Premium,Like New,28,3.7,438,10.06,23.58
Automotive,TechPro,New,50,3.6,283,16.07,253.63
Sports,HomeStyle,Refurbished,37,3.0,946,19.05,54.82
Clothing,SportMax,New,29,4.9,178,18.92,55.64
Toys,EcoFriendly,Like New,31,4.6,326,2.72,28.64
Beauty,BasicValue,Fair,55,4.3,34,17.47,5.71
Toys,SportMax,Like New,53,3.6,518,14.38,22.79
Automotive,Standard,New,43,3.4,122,16.75,126.97
Health,Standard,New,52,4.3,574,14.44,41.94
Books,Luxury,New,34,4.6,559,16.61,40.0
Electronics,TechPro,Refurbished,51,4.9,610,16.79,391.46
Books,SportMax,Fair,30,3.3,891,14.53,12.98
Beauty,TechPro,New,22,4.2,501,17.74,73.52
Food,SportMax,Refurbished,7,4.4,701,18.85,18.24
Home & Kitchen,Generic,New,40,3.3,487,7.92,23.32
Books,Standard,Refurbished,14,3.7,888,3.51,12.77
Sports,Budget,Refurbished,17,3.9,476,0.76,35.31
Toys,TechPro,Refurbished,13,5.0,309,9.53,33.64
Clothing,Generic,Fair,36,4.3,567,10.65,5.89
Sports,Premium,Like New,21,3.4,783,17.08,114.76
Clothing,TechPro,New,48,3.3,847,5.21,53.76
Automotive,BasicValue,Refurbished,33,4.5,592,19.92,59.67
Electronics,Generic,Like New,4,3.5,447,6.97,164.74
Clothing,Premium,Like New,8,4.1,341,16.89,72.3
Electronics,Budget,Fair,21,4.6,156,2.5,138.07
Toys,SportMax,Refurbished,0,3.5,512,2.47,32.04
Books,Budget,Good,3,3.5,282,7.56,10.24
Home & Kitchen,Generic,New,40,4.5,699,19.89,25.42
Electronics,EcoFriendly,Fair,15,3.5,881,3.88,296.43
Books,SportMax,New,17,3.9,112,8.94,27.27
Books,BasicValue,New,38,4.6,976,17.24,7.17
Automotive,HomeStyle,Refurbished,2,4.6,145,19.74,187.48
Toys,Premium,Fair,39,3.6,505,10.81,17.77
Health,Budget,Good,13,4.7,430,8.13,23.85
Home & Kitchen,Generic,New,50,3.2,197,6.81,16.59
Health,Standard,Like New,23,4.1,966,3.82,41.84
Food,Premium,New,56,3.6,610,7.33,12.94
Electronics,Luxury,New,28,4.5,553,2.23,1053.15
Automotive,EcoFriendly,Fair,30,3.7,401,6.02,89.16
Home & Kitchen,Budget,New,24,4.7,439,2.54,37.12
Food,TechPro,Like New,55,3.6,568,1.5,12.13
Toys,Luxury,Fair,36,3.3,896,5.01,30.34
Toys,Generic,New,52,3.3,890,17.09,6.72
Health,EcoFriendly,New,0,4.7,703,18.19,86.02
Food,Premium,Like New,56,4.6,390,4.06,9.94
Sports,SportMax,New,45,4.9,205,10.94,88.59
Beauty,Standard,Fair,6,4.2,1,3.43,21.91
Books,Generic,Good,5,4.3,872,12.95,5.19
Clothing,SportMax,Fair,53,3.2,57,1.84,17.15
Electronics,EcoFriendly,Like New,22,4.9,460,19.12,406.46
Books,BasicValue,Good,43,4.9,96,0.96,5.0
Health,Luxury,Fair,56,4.4,129,15.29,34.07
Toys,BasicValue,Fair,32,4.0,805,7.69,5.48
Sports,SportMax,Like New,14,4.3,412,3.01,142.88
Home & Kitchen,Premium,Fair,40,4.1,582,17.76,51.74
Electronics,Luxury,Refurbished,6,4.6,572,6.34,945.21
Toys,Premium,Good,31,4.9,9,3.06,32.44
Electronics,TechPro,Good,59,3.3,73,19.36,305.41
Clothing,Luxury,Refurbished,46,3.6,959,18.67,53.45
Sports,TechPro,Fair,26,4.4,831,9.43,99.34
Electronics,Budget,Good,49,3.9,638,2.29,115.53
Clothing,Premium,Like New,22,3.8,511,13.83,68.17
Food,TechPro,Good,32,4.7,536,12.24,14.58
Automotive,Standard,Refurbished,44,4.1,365,6.03,72.56
Clothing,SportMax,Like New,16,3.5,824,0.22,53.99
Beauty,Standard,Refurbished,8,3.7,272,3.32,27.09
Health,Premium,Fair,47,4.2,953,14.86,33.87
Home & Kitchen,Luxury,Good,23,3.2,912,3.99,121.51
Books,EcoFriendly,Fair,47,3.6,556,6.62,8.5
Toys,EcoFriendly,Fair,30,3.0,403,11.7,13.54
Books,Luxury,New,46,4.8,264,6.35,27.3
Sports,Budget,Refurbished,54,4.5,947,9.8,20.5
Clothing,Budget,New,25,3.7,91,12.52,23.8
Home & Kitchen,HomeStyle,Fair,32,4.8,272,6.05,36.7
Toys,TechPro,New,11,4.6,830,14.53,60.73
Food,EcoFriendly,Like New,7,4.6,884,12.07,18.29
Automotive,Generic,Fair,45,4.5,911,0.92,25.98
Books,Standard,New,24,3.8,463,7.81,20.18
Home & Kitchen,Generic,Refurbished,7,4.5,859,12.42,28.68
Electronics,Luxury,Good,13,4.1,89,11.97,858.05
Home & Kitchen,Standard,Like New,32,4.5,300,7.67,54.8
Toys,TechPro,Refurbished,25,4.9,397,16.13,28.95
Electronics,Generic,Good,48,4.8,555,10.76,104.11
Home & Kitchen,Premium,Fair,43,3.2,923,8.63,46.56
Automotive,SportMax,Refurbished,39,3.1,456,7.22,117.79
Sports,Standard,Fair,47,4.1,595,17.15,25.8
Clothing,Budget,New,45,4.2,267,14.05,18.17
Electronics,Premium,Like New,18,3.7,508,10.36,733.07
Home & Kitchen,Luxury,Fair,12,4.8,277,2.25,108.55
Toys,Standard,Refurbished,52,3.8,70,11.15,11.85
Health,Generic,New,18,3.7,154,17.04,22.78
Electronics,Standard,Like New,4,3.4,191,16.57,427.28
Automotive,Budget,New,4,4.4,292,2.47,125.51
Toys,Standard,New,25,3.1,148,16.75,23.13
Automotive,Premium,Like New,37,4.7,471,14.8,188.63
Health,TechPro,Fair,9,4.9,363,1.95,54.46
Automotive,Premium,Fair,33,3.1,633,2.12,131.0
Beauty,Budget,Good,0,4.1,515,3.57,19.92
Sports,Budget,Good,33,3.8,213,17.98,28.13
Books,HomeStyle,Like New,11,4.5,865,3.76,19.7
Electronics,BasicValue,Refurbished,50,4.0,440,12.09,123.1
Health,Luxury,Good,10,3.3,739,4.03,93.81
Automotive,TechPro,Refurbished,19,3.5,803,1.79,259.65
Automotive,Premium,New,53,4.5,853,11.21,169.97
Books,TechPro,Like New,49,3.1,19,18.46,13.98
Beauty,Luxury,Refurbished,37,4.7,700,9.55,48.69
Sports,SportMax,New,43,4.7,445,0.34,118.03
Beauty,EcoFriendly,Fair,23,3.6,119,19.45,22.59
Food,HomeStyle,Good,55,3.4,56,4.81,5.0
Health,SportMax,Good,55,4.5,755,16.77,31.24
Beauty,Generic,Like New,47,3.2,585,10.15,7.54
Electronics,EcoFriendly,Refurbished,33,3.8,231,16.7,317.12
Sports,Premium,Good,28,4.4,454,8.81,93.65
Electronics,HomeStyle,Refurbished,32,3.8,595,9.04,292.55
Toys,BasicValue,Like New,49,3.7,401,6.72,6.9
Home & Kitchen,Standard,Like New,43,3.5,342,15.36,42.33
Sports,Generic,Refurbished,10,4.7,217,17.31,33.52
Electronics,Luxury,Refurbished,3,4.7,209,9.17,1009.35
Beauty,EcoFriendly,Like New,18,3.4,250,5.71,41.17
Home & Kitchen,Luxury,Refurbished,52,3.2,529,18.26,67.95
Toys,EcoFriendly,Refurbished,4,3.3,181,5.07,28.61
Electronics,EcoFriendly,Refurbished,58,3.2,254,2.08,182.12
Health,Budget,Refurbished,10,4.5,593,7.6,22.3
Sports,HomeStyle,Refurbished,36,3.8,985,11.56,52.42
Books,Budget,Fair,15,3.1,253,15.35,6.03
Electronics,Standard,New,4,3.4,819,12.51,526.36
Sports,BasicValue,Like New,52,3.6,654,4.12,23.55
Electronics,SportMax,Fair,31,3.6,142,3.76,301.82
Electronics,EcoFriendly,Refurbished,20,3.7,899,4.59,353.23
Sports,Budget,Good,28,3.9,236,3.04,34.11
Home & Kitchen,EcoFriendly,New,26,4.7,460,2.69,93.29
Electronics,Budget,Refurbished,3,4.7,670,0.52,202.8
Home & Kitchen,Standard,Refurbished,24,3.0,601,16.35,47.38
Toys,Standard,Good,53,4.2,98,2.76,11.56
Beauty,BasicValue,New,45,3.4,614,18.83,11.0
Toys,Generic,Good,41,3.9,180,6.71,6.76
Home & Kitchen,Budget,Fair,55,4.3,100,18.6,12.98
Automotive,EcoFriendly,Like New,37,3.6,220,7.81,142.71
Food,BasicValue,Good,50,3.4,3,18.38,5.0
Sports,BasicValue,Like New,22,3.8,419,12.61,36.46
Beauty,Generic,Good,8,4.7,657,14.84,15.35
Home & Kitchen,Budget,New,33,4.5,771,9.84,38.87
Health,TechPro,Refurbished,44,3.5,27,4.64,44.51
Electronics,Budget,Refurbished,41,3.7,863,7.16,123.17
Toys,BasicValue,Like New,47,4.9,855,11.71,9.44
Health,Standard,Fair,21,3.2,58,8.27,29.03
Home & Kitchen,EcoFriendly,New,6,3.5,560,13.87,103.04
Sports,EcoFriendly,Good,30,4.5,559,8.47,72.74
Home & Kitchen,Standard,Good,33,4.7,688,14.37,50.44
Automotive,Premium,Good,14,3.9,463,9.55,238.69
Sports,Luxury,New,43,4.0,706,13.97,151.59
Toys,Generic,New,54,3.1,707,17.57,6.35
Electronics,Premium,Fair,30,3.4,245,11.2,266.6
Automotive,TechPro,Like New,49,4.7,402,6.17,190.57
Beauty,HomeStyle,Fair,17,3.4,419,6.03,19.89
Toys,SportMax,Fair,6,3.0,116,6.72,26.87
Clothing,HomeStyle,Refurbished,33,4.6,54,19.76,24.15
Sports,Budget,Fair,4,3.9,521,14.22,31.93
Clothing,Premium,Good,59,4.4,404,2.02,25.29
Electronics,EcoFriendly,Good,20,4.5,48,0.53,452.03
Clothing,Standard,Good,4,3.0,573,9.41,32.24
Home & Kitchen,TechPro,Like New,18,4.6,672,2.33,144.06
Clothing,SportMax,New,55,4.8,220,15.86,43.78
Toys,BasicValue,Refurbished,6,3.7,532,18.91,10.45
Automotive,Premium,Fair,15,4.9,982,1.11,185.79
Home & Kitchen,BasicValue,Fair,4,3.3,529,6.55,21.73
Home & Kitchen,Premium,New,56,3.6,383,14.21,74.65
Toys,Luxury,Like New,34,3.2,322,14.63,48.43
Beauty,SportMax,Refurbished,44,4.0,54,1.58,29.75
Books,Generic,Good,5,3.7,972,7.01,6.15
Sports,Standard,New,8,3.0,321,18.76,108.78
Beauty,BasicValue,Refurbished,41,4.9,787,15.79,10.83
Automotive,Budget,New,26,3.5,574,13.8,89.66
Toys,Premium,Fair,17,3.6,762,4.81,25.12
Clothing,Generic,Refurbished,38,3.8,428,1.21,9.09
Automotive,Luxury,New,4,4.0,56,13.39,536.47
Electronics,Luxury,Like New,17,3.7,343,16.36,996.96
Books,Standard,Fair,34,4.2,210,6.83,7.53
Clothing,Generic,Fair,19,3.5,432,15.04,8.99
Automotive,HomeStyle,Good,31,4.3,891,10.31,117.04
Clothing,SportMax,Fair,47,4.9,26,14.17,25.79
Home & Kitchen,EcoFriendly,Fair,17,4.7,821,18.52,50.95
Toys,Budget,Fair,33,3.7,401,2.72,7.03
Electronics,Generic,Fair,8,3.5,254,12.03,91.12
Automotive,Generic,Like New,17,3.5,731,13.83,63.11
Books,BasicValue,New,27,3.6,234,3.54,9.03
Home & Kitchen,Standard,New,30,3.5,403,4.68,65.77
Toys,SportMax,Fair,30,4.0,132,14.25,17.05
Health,Luxury,Refurbished,41,3.6,907,10.33,65.96
Electronics,TechPro,Refurbished,43,5.0,195,8.16,469.36
Beauty,SportMax,Fair,40,4.4,251,7.68,20.55
Health,Luxury,Fair,49,4.2,313,5.64,44.42
Books,Standard,Fair,33,4.7,77,16.31,6.58
Electronics,SportMax,Refurbished,2,3.3,73,2.47,494.41
Food,BasicValue,Refurbished,11,4.0,656,12.44,5.0
Home & Kitchen,Standard,Fair,38,4.4,51,4.35,29.41
Home & Kitchen,Budget,Like New,4,4.4,904,4.43,38.77
Sports,Budget,New,3,4.7,482,16.02,56.37
Beauty,Standard,Fair,56,3.6,687,6.41,10.01
Sports,Budget,Refurbished,39,3.2,813,16.91,21.26
Books,EcoFriendly,New,26,4.3,419,6.33,21.91
Clothing,TechPro,Refurbished,56,4.6,65,6.65,29.91
Beauty,SportMax,Good,42,4.7,533,6.15,27.16
Books,SportMax,Fair,57,5.0,580,13.89,8.44
Electronics,BasicValue,Refurbished,38,3.1,824,13.28,120.14
Food,TechPro,New,32,3.8,885,11.41,21.79
Beauty,Budget,Like New,44,3.0,887,6.74,13.42
Health,BasicValue,Refurbished,55,4.1,115,10.42,10.35
Clothing,Standard,Refurbished,7,3.1,236,9.89,30.36
Clothing,Generic,Refurbished,31,4.3,737,5.24,10.29
Toys,TechPro,Good,24,4.1,550,18.56,35.22
Beauty,HomeStyle,Refurbished,26,4.2,165,16.18,25.94
Health,HomeStyle,New,21,4.3,334,12.91,61.55
Home & Kitchen,Generic,Fair,51,3.5,625,10.62,10.31
Home & Kitchen,BasicValue,Refurbished,38,4.6,373,1.72,15.72
Beauty,Premium,Fair,9,3.5,634,13.86,32.35
Toys,Luxury,New,17,3.4,15,2.18,53.34
Automotive,Generic,Good,58,4.8,91,17.37,35.12
Electronics,EcoFriendly,Good,44,4.5,188,1.6,270.62
Books,Generic,Fair,52,3.3,452,18.87,5.0
Clothing,Luxury,Like New,33,4.9,223,14.24,87.84
Books,HomeStyle,Good,28,4.7,178,8.79,12.26
Books,TechPro,Refurbished,2,4.6,28,18.62,29.68
Clothing,Luxury,Fair,30,3.7,65,1.4,52.31
Sports,TechPro,Fair,10,4.4,122,12.98,100.03
Food,EcoFriendly,New,38,4.5,42,8.84,12.48
Food,Budget,New,2,3.4,897,16.55,9.27
Books,SportMax,Fair,4,4.7,929,9.43,20.23
Home & Kitchen,SportMax,Refurbished,30,4.3,75,8.02,62.41
Electronics,Budget,Like New,47,3.7,969,13.27,157.47
Sports,Premium,Like New,25,4.4,345,14.33,113.23
Electronics,HomeStyle,New,14,4.3,256,0.34,481.8
Toys,Luxury,Good,2,4.7,862,19.46,60.97
Toys,HomeStyle,Refurbished,1,4.3,677,10.07,25.3
Beauty,Standard,New,58,3.3,216,17.55,19.37
Sports,EcoFriendly,Fair,37,3.2,370,12.66,36.93
Health,HomeStyle,Like New,20,4.5,787,10.33,60.42
Automotive,BasicValue,Refurbished,28,4.1,270,13.71,61.19
Toys,EcoFriendly,Like New,9,4.2,591,17.41,32.36
Books,Standard,Good,6,4.2,743,2.58,13.38
Electronics,TechPro,New,37,3.1,677,4.14,636.34
Home & Kitchen,BasicValue,Like New,48,4.3,219,14.34,21.63
Sports,Luxury,Like New,28,4.4,646,13.82,196.83
Books,TechPro,Refurbished,1,4.4,884,12.43,24.6
Electronics,Premium,Fair,22,4.3,947,6.93,416.3
Home & Kitchen,Budget,Refurbished,57,4.2,577,1.51,12.66
Electronics,Luxury,Good,17,4.7,203,13.49,916.75
Health,Generic,Good,19,4.3,208,8.7,16.53
Beauty,TechPro,Good,52,3.1,477,4.28,29.11
Automotive,Generic,Like New,23,3.5,491,1.06,65.77
Automotive,Generic,Refurbished,12,3.4,510,18.43,57.1
Health,TechPro,Refurbished,50,3.5,911,11.52,37.24
Clothing,Premium,Refurbished,33,4.2,846,9.92,35.14
Toys,SportMax,Refurbished,48,4.8,868,18.95,17.58
Health,Generic,Good,1,4.8,454,4.54,24.57
Clothing,HomeStyle,New,31,4.4,0,9.43,45.85
Toys,Generic,Good,34,3.6,309,6.78,6.89
Books,Generic,Good,18,4.6,639,8.53,7.17
Sports,Budget,Refurbished,23,4.3,371,16.82,31.14
Sports,Premium,Refurbished,51,4.6,433,2.58,63.26
Beauty,EcoFriendly,Like New,17,4.1,20,4.44,42.53
Electronics,HomeStyle,Good,50,4.7,973,6.9,162.41
Books,TechPro,Fair,1,4.4,237,9.39,19.0
Beauty,Premium,Refurbished,57,3.5,979,5.57,22.54
Health,Luxury,Good,40,4.6,228,16.36,69.84
Sports,SportMax,Fair,13,3.9,866,11.51,52.88
Toys,SportMax,Good,57,4.9,73,18.82,15.41
Home & Kitchen,SportMax,Like New,17,3.5,696,0.17,117.4
Books,Standard,Fair,49,4.4,142,6.38,6.36
Home & Kitchen,Generic,Refurbished,3,4.3,440,2.0,27.07
Home & Kitchen,EcoFriendly,New,38,3.5,269,19.6,68.76
Sports,EcoFriendly,Like New,37,3.0,721,18.26,75.3
Books,TechPro,Good,19,4.6,984,16.13,24.17
Toys,Generic,Refurbished,32,4.9,804,1.77,6.11
Books,HomeStyle,New,33,4.6,373,19.77,16.27
Automotive,Premium,Refurbished,32,3.6,541,4.34,163.89
Health,BasicValue,New,28,4.6,696,5.29,24.99
Automotive,Luxury,Refurbished,2,4.3,536,14.21,341.32
Clothing,TechPro,Refurbished,38,5.0,310,1.18,49.93
Books,TechPro,New,46,4.9,977,6.19,25.74
Home & Kitchen,Budget,Like New,4,3.9,811,12.26,43.69
Toys,TechPro,Refurbished,5,4.2,834,19.92,45.97
Automotive,Budget,Good,25,4.3,407,8.7,74.46
Home & Kitchen,Standard,Fair,41,4.6,483,12.13,31.52
Toys,Budget,Good,38,4.8,657,2.97,8.73
Electronics,Premium,Fair,49,3.7,380,6.47,253.57
Books,Luxury,Like New,7,4.8,878,19.2,53.83
Health,Budget,Fair,7,4.4,922,0.5,18.08
Clothing,Budget,Refurbished,25,3.9,82,10.41,16.28
Beauty,TechPro,Fair,40,3.3,228,14.67,24.34
Beauty,HomeStyle,Fair,46,5.0,646,11.81,13.1
Electronics,Premium,Refurbished,27,3.1,688,8.37,406.3
Sports,EcoFriendly,New,21,4.5,411,13.42,108.24
Toys,SportMax,Like New,49,3.1,793,7.24,15.33
Electronics,Premium,Like New,38,4.0,687,9.77,547.1
Sports,EcoFriendly,Good,45,4.8,105,14.4,58.02
Home & Kitchen,Standard,Fair,26,4.4,987,3.93,29.06
Food,BasicValue,Good,5,4.7,245,19.05,5.78
Home & Kitchen,Standard,New,38,4.9,909,10.9,57.41
Books,Generic,Fair,49,4.9,724,8.99,5.0
Food,BasicValue,Refurbished,52,3.6,520,3.37,5.0
Toys,TechPro,Like New,50,4.9,802,10.39,27.5
Toys,HomeStyle,Good,41,5.0,837,7.24,18.39
Sports,Budget,Fair,17,4.9,371,19.25,31.43
Electronics,Luxury,Like New,2,3.5,605,9.64,1071.65
Home & Kitchen,Luxury,New,40,3.7,172,8.2,133.9
Health,SportMax,Like New,23,3.8,355,19.92,70.3
Clothing,EcoFriendly,New,47,3.6,827,4.22,38.98
Beauty,Generic,Refurbished,40,3.0,841,2.16,6.42
Health,Premium,Refurbished,23,3.0,165,17.18,61.14
Electronics,Standard,New,39,3.3,194,13.04,351.74
Electronics,Standard,Fair,17,3.7,598,2.77,215.15
Automotive,TechPro,New,0,3.8,361,2.87,395.78
Food,Generic,Fair,27,4.8,638,13.81,5.0
Home & Kitchen,Luxury,New,57,4.9,75,16.29,105.04
Books,TechPro,New,22,4.7,392,18.82,28.89
Food,Generic,Refurbished,4,3.1,961,10.8,5.13
Health,Budget,Fair,36,5.0,955,0.99,14.75
Clothing,SportMax,Refurbished,22,3.5,999,11.38,43.74
Clothing,Generic,New,20,3.7,691,10.89,19.94
Clothing,HomeStyle,Like New,28,4.4,316,1.54,38.96
Health,Luxury,Good,31,3.4,680,3.07,97.63
Food,Luxury,Good,32,4.1,772,17.46,18.41
Beauty,Generic,Like New,50,4.3,605,1.55,8.56
Electronics,SportMax,Fair,21,3.5,696,16.09,230.59
Sports,HomeStyle,Good,53,4.7,215,10.98,42.8
Sports,Premium,New,59,4.6,883,8.42,85.41
Clothing,Standard,Refurbished,8,3.2,470,2.11,32.06
Automotive,Budget,New,12,4.9,991,15.8,130.82
Food,Standard,New,21,3.6,329,17.49,11.73
Books,Luxury,Fair,48,3.8,515,11.91,14.55
Books,Generic,Fair,25,4.4,662,17.08,5.0
Electronics,Standard,Like New,14,4.0,152,3.91,327.83
Electronics,Generic,Good,57,4.1,787,11.73,69.59
Toys,TechPro,New,52,4.0,588,16.13,29.06
Clothing,Premium,New,39,3.8,928,18.7,57.14
Home & Kitchen,Budget,Good,53,4.1,730,18.18,18.89
Toys,HomeStyle,Refurbished,24,3.2,201,15.49,22.15
Books,Standard,Good,10,3.6,217,3.49,12.23
Toys,Budget,New,6,3.6,15,11.08,18.15
Beauty,TechPro,Fair,11,3.6,20,19.31,31.81
Books,TechPro,Fair,40,4.0,282,15.21,11.77
Beauty,Budget,New,1,3.2,436,0.52,29.4
Home & Kitchen,Premium,Like New,32,4.4,100,4.18,86.47
Clothing,TechPro,Refurbished,33,4.2,236,17.07,47.8
Automotive,BasicValue,Fair,45,4.6,542,6.45,31.67
Home & Kitchen,BasicValue,Fair,30,3.6,735,3.65,14.52
Toys,BasicValue,New,47,3.2,702,19.53,8.84
Home & Kitchen,HomeStyle,Fair,24,3.6,627,10.94,40.75
Clothing,TechPro,Fair,59,3.9,839,5.37,19.29
Electronics,Standard,Good,41,4.1,925,2.36,252.92
Toys,Premium,Refurbished,35,4.5,402,3.11,26.38
Health,BasicValue,Like New,30,4.3,676,15.15,19.14
Toys,SportMax,Refurbished,1,4.2,243,8.27,33.89
Health,Standard,Fair,49,3.2,58,16.06,13.33
Sports,HomeStyle,Good,58,4.5,138,15.68,35.47
Beauty,Budget,Refurbished,54,3.2,909,9.8,8.18
Health,Premium,New,43,4.1,692,14.52,66.92
Home & Kitchen,SportMax,Fair,55,3.4,294,4.14,30.08
Automotive,Budget,New,51,3.6,817,14.63,78.36
Automotive,EcoFriendly,Like New,4,3.5,845,9.06,237.28
Toys,Generic,New,20,3.3,864,9.25,9.64
Food,Luxury,Refurbished,48,3.1,554,3.27,14.31
Beauty,TechPro,Like New,1,3.6,406,10.2,76.79
Clothing,HomeStyle,Fair,31,3.2,155,7.85,19.32
Health,HomeStyle,New,26,3.3,228,2.11,52.48
Automotive,HomeStyle,Good,37,4.6,46,0.14,102.05
Clothing,HomeStyle,New,17,4.7,312,19.11,55.27
Clothing,TechPro,Fair,39,4.4,918,17.89,27.13
Electronics,SportMax,Refurbished,51,4.9,795,9.73,289.98
Electronics,Standard,Refurbished,13,3.8,279,13.67,333.82
Health,Generic,Refurbished,3,3.7,260,2.19,19.14
Food,Luxury,Fair,33,3.3,102,11.36,12.4
Toys,EcoFriendly,New,38,3.7,475,1.04,21.86
Sports,HomeStyle,Good,52,3.2,643,1.5,40.73
Food,BasicValue,Refurbished,37,4.8,834,10.07,5.0
Automotive,EcoFriendly,Fair,46,3.8,915,3.27,69.3
Clothing,Standard,Like New,22,4.8,700,4.39,32.22
Electronics,EcoFriendly,Good,33,4.1,57,10.06,298.53
Books,SportMax,Refurbished,44,4.6,883,1.92,12.5
Toys,Standard,New,24,3.9,118,5.81,24.18
Home & Kitchen,HomeStyle,Like New,3,4.1,766,18.36,79.86
Beauty,Standard,Good,58,4.7,928,17.67,16.64
Health,Luxury,Like New,36,4.9,458,18.07,71.6
Clothing,TechPro,Like New,11,5.0,618,6.88,93.18
Automotive,Luxury,Good,28,4.1,737,19.24,327.8
Clothing,TechPro,New,7,3.5,443,12.18,97.5
Health,Standard,Fair,44,4.1,154,1.34,21.72
Automotive,BasicValue,Refurbished,51,3.4,551,2.92,36.08
Home & Kitchen,HomeStyle,New,41,3.9,375,14.92,53.11
Food,Premium,Refurbished,49,4.9,436,19.85,8.84
Beauty,BasicValue,Fair,54,4.4,993,6.3,5.95
Food,Budget,Refurbished,10,4.4,806,9.76,5.66
Home & Kitchen,Budget,New,53,4.0,347,7.41,28.57
Beauty,BasicValue,Refurbished,31,4.2,894,7.3,12.55
Toys,SportMax,Fair,15,3.6,800,18.67,22.29
Beauty,BasicValue,Like New,28,4.1,697,12.99,14.28
Books,TechPro,Good,56,3.7,275,7.25,12.42
Books,HomeStyle,Like New,45,3.9,968,19.02,10.6
Home & Kitchen,TechPro,Refurbished,24,3.5,216,14.37,62.08
Food,Generic,Refurbished,53,3.5,52,4.94,5.0
Toys,SportMax,Like New,55,4.5,252,5.8,21.3
Sports,Luxury,Refurbished,55,3.2,179,13.05,78.9
Books,EcoFriendly,Like New,15,4.7,476,19.6,24.04
Home & Kitchen,SportMax,Refurbished,32,3.5,191,0.25,56.51
Toys,Standard,Good,54,4.6,573,19.37,11.43
Food,HomeStyle,Refurbished,39,4.9,353,18.91,7.34
Health,TechPro,Refurbished,23,4.8,129,9.45,66.78
Books,TechPro,New,28,3.5,955,7.2,29.82
Food,Standard,New,19,4.8,356,6.83,12.64
Beauty,Budget,New,7,4.2,269,4.27,25.79
Electronics,Luxury,Good,27,4.4,370,5.01,815.55
Home & Kitchen,Generic,Good,38,4.5,479,11.19,15.53
Home & Kitchen,Premium,Good,49,3.9,391,8.33,59.86
Sports,SportMax,New,26,4.3,336,19.81,129.28
Toys,HomeStyle,New,47,3.9,507,17.15,16.2
Health,SportMax,Like New,48,4.1,253,4.15,44.52
Food,TechPro,Like New,37,3.8,860,18.82,18.07
Food,Generic,New,25,3.4,443,17.15,5.0
Beauty,TechPro,Fair,41,4.8,607,18.32,24.62
Toys,SportMax,New,17,4.6,517,19.77,41.05
Electronics,Generic,Like New,37,4.2,248,3.22,128.89
Health,HomeStyle,Like New,17,3.8,856,5.44,60.71
Toys,BasicValue,Refurbished,42,3.5,632,10.35,6.79
Health,Luxury,Like New,27,4.2,915,11.1,89.37
Books,HomeStyle,Like New,7,4.4,690,4.04,20.5
Clothing,Budget,Like New,36,4.1,330,12.49,15.22
Food,Standard,Fair,43,4.7,966,1.98,5.0
Electronics,TechPro,Good,53,3.6,557,12.05,345.96
Food,Generic,Like New,58,3.1,417,19.64,5.0
Home & Kitchen,BasicValue,Good,43,4.8,826,5.43,17.54
Electronics,EcoFriendly,Fair,58,4.9,702,13.19,157.94
Home & Kitchen,Premium,Like New,9,3.9,837,19.38,123.05
Toys,BasicValue,New,36,4.2,871,10.61,11.38
Health,Generic,Fair,20,4.5,322,9.7,11.71
